,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,boroughs
9917,18870935,35419670,Entire home/apt,Oud Oost,0,0.0,2,1.0,126.0,"Luxurious, sunny 1-bedroom apartment with balcony",52.358249,4.918319,Oost
9918,13289321,10259430,Entire home/apt,Oud Oost,11,5.0,4,1.0,132.0,East is where your home is!,52.357282,4.920517,Oost
9919,528227,2422197,Entire home/apt,Centrum Oost,23,5.0,2,1.0,136.0,Lux app with canal view + balcony!,52.362042,4.905429,Centrum
9920,4577495,910620,Entire home/apt,De Pijp / Rivierenbuurt,1,0.0,2,1.0,132.0,Newly renovated apartment in Pijp,52.357496,4.901497,Zuid
9921,5722615,16274382,Entire home/apt,Oud Oost,5,4.5,4,1.0,144.0,Beautiful apartment for 2- 5 near the  city center,52.35872,4.90904,Oost
9922,16341225,12663421,Entire home/apt,Oud Oost,10,5.0,3,0.0,144.0,Sunny Amstel river apartment (close to centre),52.357724,4.907132,Oost
9923,4886610,24911172,Entire home/apt,De Pijp / Rivierenbuurt,1,0.0,3,1.0,144.0,Great centrally located appartement,52.357162,4.901572,Zuid
9924,7656241,40183480,Entire home/apt,Oud Oost,15,5.0,2,1.0,138.0,"Stylish, light & charming apartment",52.35709,4.920223,Oost
9925,4544218,19052569,Entire home/apt,Oud Oost,3,5.0,4,2.0,144.0,Sunny apartment (90m2) in Amsterdam,52.36005,4.914256,Oost
9926,8491307,44720337,Entire home/apt,Oud Oost,2,0.0,4,2.0,132.0,Appartment near center Amsterdam,52.357092,4.913192,Oost
9927,6863052,10048959,Entire home/apt,De Pijp / Rivierenbuurt,4,5.0,4,2.0,144.0,X-Mas/NYE apartment large balony (incl. heater),52.357579,4.904186,Zuid
9928,9161803,9850371,Entire home/apt,Oud Oost,8,5.0,2,1.0,126.0,Bohemian and arty apartment! Great location!,52.358854,4.911552,Oost
9929,11164669,5794799,Entire home/apt,Oud Oost,1,0.0,3,1.0,144.0,Boutique aprtmnt along Amstel river,52.356939,4.907189,Oost
9930,1829726,9571458,Entire home/apt,Oud Oost,13,4.5,4,1.0,138.0,"Enjoy Amsterdam, stay in 'Oost'",52.357281,4.91571,Oost
9931,3504128,14316583,Entire home/apt,Oud Oost,11,4.5,4,1.0,131.0,AMAZING! Modern Stylish Apt. Centre,52.357991,4.915238,Oost
9932,18368030,127178193,Entire home/apt,De Pijp / Rivierenbuurt,0,0.0,2,1.0,144.0,Apartment with central location in Amsterdam!,52.356938,4.90311,Zuid
9933,19410652,16767789,Entire home/apt,Oud Oost,0,0.0,4,2.0,132.0,Spacious bohemian apartment,52.360264,4.914693,Oost
9934,9133692,39503636,Entire home/apt,Oud Oost,0,0.0,2,1.0,132.0,Spacious & lovely apartment,52.358565,4.91085,Oost
9935,3097805,1428095,Entire home/apt,Oud Oost,11,5.0,2,1.0,144.0,Modern aptmt w/ rooftop terrace!,52.358466,4.912373,Oost
9936,1035528,5700200,Entire home/apt,Centrum Oost,6,5.0,2,2.0,132.0,Central Canal House Apartment,52.362297,4.904921,Centrum
9937,8625086,10011913,Entire home/apt,Centrum Oost,7,5.0,2,1.0,143.0,Spacious apartment with balcony,52.361113,4.905274,Centrum
9938,920320,3162485,Entire home/apt,Centrum Oost,13,5.0,2,1.0,143.0,Creative funky apartment Amsterdam with garden,52.361796,4.913784,Centrum
9939,14441994,11646914,Entire home/apt,Oud Oost,29,5.0,3,1.0,138.0,Modern Loft Apt with Rooftop Terrace near Center,52.357578,4.910749,Oost
9940,13953151,83075372,Entire home/apt,Oud Oost,8,4.5,2,1.0,126.0,Great Centre Place!! Comes with 2 Bikes!!,52.365027,4.926185,Oost
9941,8766968,42988034,Entire home/apt,Oud Oost,7,4.5,2,1.0,144.0,Cozy appartment with canal view,52.364194,4.924393,Oost
9942,1779725,9302267,Entire home/apt,Oud Oost,0,0.0,2,1.0,144.0,Modern 1-Bedroom Apartment Eastside,52.364005,4.925791,Oost
9943,1850613,9369116,Entire home/apt,Oud Oost,27,5.0,4,2.0,144.0,Spacious | Central | Trendy (2-4),52.362999,4.924409,Oost
9944,8766483,2117711,Entire home/apt,Oud Oost,3,4.5,2,1.0,126.0,Bright & clean - Scandinavian space,52.364492,4.926854,Oost
9945,5708418,29595415,Entire home/apt,Oud Oost,1,0.0,4,2.0,126.0,Entire home/apt close 2 city center,52.361283,4.929313,Oost
9946,9399527,46763524,Entire home/apt,Oud Oost,20,5.0,3,1.0,132.0,Cosy place at wonderful location!,52.362428,4.927875,Oost
9947,2783749,5396807,Entire home/apt,Oud Oost,7,5.0,3,2.0,144.0,Cosy Amsterdam Apartment ,52.359771,4.927568,Oost
9948,12949634,3524158,Entire home/apt,Oud Oost,8,5.0,4,2.0,143.0,"Spacious 3room apartment, Central-East side",52.365061,4.929026,Oost
9949,18019188,123901938,Entire home/apt,Oud Oost,0,0.0,4,2.0,144.0,Modern Appartement for a perfect citytrip,52.359331,4.927587,Oost
9950,124831,621555,Entire home/apt,Oud Oost,28,4.5,4,1.0,144.0,Very Cosy Spacious Apartment,52.361342,4.926967,Oost
9951,13143914,73285239,Entire home/apt,Oostelijk Havengebied / Indische Buurt,16,5.0,2,1.0,138.0,Cosy Apt. in Amsterdam East,52.363901,4.934956,Oost
9952,16280897,7269376,Entire home/apt,Oud Oost,14,5.0,2,1.0,132.0,Trendy apartment Amsterdam centre,52.349493,4.913714,Oost
